GEN,BEZ,EWZ,AdmUnitId,Region_Prefix,Region
Münster,Kreisfreie Stadt,315293,5515,SK ,SK Münster
Borken,Kreis,371339,5554,SK ,SK Borken
Coesfeld,Kreis,220586,5558,SK ,SK Coesfeld
Recklinghausen,Kreis,614137,5562,SK ,SK Recklinghausen
Steinfurt,Kreis,448220,5566,SK ,SK Steinfurt
Warendorf,Kreis,277840,5570,SK ,SK Warendorf
Bielefeld,Kreisfreie Stadt,334195,5711,SK ,SK Bielefeld
Gütersloh,Kreis,364938,5754,SK ,SK Gütersloh
Herford,Kreis,250578,5758,SK ,SK Herford
Höxter,Kreis,140251,5762,SK ,SK Höxter
Lippe,Kreis,347514,5766,SK ,SK Lippe
Minden-Lübbecke,Kreis,310409,5770,SK ,SK Minden-Lübbecke
Paderborn,Kreis,307839,5774,SK ,SK Paderborn
Bochum,Kreisfreie Stadt,365587,5911,SK ,SK Bochum
Dortmund,Kreisfreie Stadt,588250,5913,SK ,SK Dortmund
Hagen,Kreisfreie Stadt,188686,5914,SK ,SK Hagen
Hamm,Kreisfreie Stadt,179916,5915,SK ,SK Hamm
Herne,Kreisfreie Stadt,156449,5916,SK ,SK Herne
Ennepe-Ruhr-Kreis,Kreis,324106,5954,SK ,SK Ennepe-Ruhr-Kreis
Hochsauerlandkreis,Kreis,259777,5958,SK ,SK Hochsauerlandkreis
Märkischer Kreis,Kreis,410222,5962,SK ,SK Märkischer Kreis
Olpe,Kreis,133955,5966,SK ,SK Olpe
Siegen-Wittgenstein,Kreis,276944,5970,SK ,SK Siegen-Wittgenstein
Soest,Kreis,301785,5974,SK ,SK Soest
Unna,Kreis,394891,5978,SK ,SK Unna
Darmstadt,Kreisfreie Stadt,159878,6411,SK ,SK Darmstadt
Frankfurt am Main,Kreisfreie Stadt,763380,6412,SK ,SK Frankfurt am Main
Offenbach am Main,Kreisfreie Stadt,130280,6413,SK ,SK Offenbach am Main
Wiesbaden,Kreisfreie Stadt,278474,6414,SK ,SK Wiesbaden
Bergstraße,Landkreis,270340,6431,LK ,LK Bergstraße
Darmstadt-Dieburg,Landkreis,297844,6432,LK ,LK Darmstadt-Dieburg
Groß-Gerau,Landkreis,275726,6433,LK ,LK Groß-Gerau
Hochtaunuskreis,Landkreis,236914,6434,LK ,LK Hochtaunuskreis
Main-Kinzig-Kreis,Landkreis,420552,6435,LK ,LK Main-Kinzig-Kreis
Main-Taunus-Kreis,Landkreis,238558,6436,LK ,LK Main-Taunus-Kreis
Odenwaldkreis,Landkreis,96703,6437,LK ,LK Odenwaldkreis
Offenbach,Landkreis,355813,6438,LK ,LK Offenbach
Rheingau-Taunus-Kreis,Landkreis,187160,6439,LK ,LK Rheingau-Taunus-Kreis
Wetteraukreis,Landkreis,308339,6440,LK ,LK Wetteraukreis
Gießen,Landkreis,270688,6531,LK ,LK Gießen
Lahn-Dill-Kreis,Landkreis,253319,6532,LK ,LK Lahn-Dill-Kreis
Limburg-Weilburg,Landkreis,171912,6533,LK ,LK Limburg-Weilburg
Marburg-Biedenkopf,Landkreis,247084,6534,LK ,LK Marburg-Biedenkopf
Vogelsbergkreis,Landkreis,105643,6535,LK ,LK Vogelsbergkreis
Kassel,Kreisfreie Stadt,202137,6611,SK ,SK Kassel
Fulda,Landkreis,223145,6631,LK ,LK Fulda
Hersfeld-Rotenburg,Landkreis,120719,6632,LK ,LK Hersfeld-Rotenburg
Kassel,Landkreis,236764,6633,LK ,LK Kassel
Schwalm-Eder-Kreis,Landkreis,179673,6634,LK ,LK Schwalm-Eder-Kreis
Waldeck-Frankenberg,Landkreis,156406,6635,LK ,LK Waldeck-Frankenberg
Werra-Meißner-Kreis,Landkreis,100629,6636,LK ,LK Werra-Meißner-Kreis
Koblenz,Kreisfreie Stadt,114052,7111,SK ,SK Koblenz
Ahrweiler,Landkreis,130086,7131,LK ,LK Ahrweiler
Altenkirchen (Westerwald),Landkreis,128805,7132,LK ,LK Altenkirchen (Westerwald)
Bad Kreuznach,Landkreis,158345,7133,LK ,LK Bad Kreuznach
Birkenfeld,Landkreis,80951,7134,LK ,LK Birkenfeld
Cochem-Zell,Landkreis,61375,7135,LK ,LK Cochem-Zell
Mayen-Koblenz,Landkreis,214434,7137,LK ,LK Mayen-Koblenz
Neuwied,Landkreis,182811,7138,LK ,LK Neuwied
Rhein-Hunsrück-Kreis,Landkreis,103163,7140,LK ,LK Rhein-Hunsrück-Kreis
Rhein-Lahn-Kreis,Landkreis,122297,7141,LK ,LK Rhein-Lahn-Kreis
Westerwaldkreis,Landkreis,201904,7143,LK ,LK Westerwaldkreis
Trier,Kreisfreie Stadt,111528,7211,SK ,SK Trier
Bernkastel-Wittlich,Landkreis,112483,7231,LK ,LK Bernkastel-Wittlich
Eifelkreis Bitburg-Prüm,Landkreis,99058,7232,LK ,LK Eifelkreis Bitburg-Prüm
Vulkaneifel,Landkreis,60646,7233,LK ,LK Vulkaneifel
Trier-Saarburg,Landkreis,149398,7235,LK ,LK Trier-Saarburg
Frankenthal (Pfalz),Kreisfreie Stadt,48762,7311,SK ,SK Frankenthal (Pfalz)
Kaiserslautern,Kreisfreie Stadt,100030,7312,SK ,SK Kaiserslautern
Landau in der Pfalz,Kreisfreie Stadt,46881,7313,SK ,SK Landau in der Pfalz
Ludwigshafen am Rhein,Kreisfreie Stadt,172253,7314,SK ,SK Ludwigshafen am Rhein
Mainz,Kreisfreie Stadt,218578,7315,SK ,SK Mainz
Neustadt an der Weinstraße,Kreisfreie Stadt,53264,7316,SK ,SK Neustadt an der Weinstraße
Pirmasens,Kreisfreie Stadt,40231,7317,SK ,SK Pirmasens
Speyer,Kreisfreie Stadt,50561,7318,SK ,SK Speyer
Worms,Kreisfreie Stadt,83542,7319,SK ,SK Worms
Zweibrücken,Kreisfreie Stadt,34193,7320,SK ,SK Zweibrücken
Alzey-Worms,Landkreis,129687,7331,LK ,LK Alzey-Worms
Bad Dürkheim,Landkreis,132671,7332,LK ,LK Bad Dürkheim
Donnersbergkreis,Landkreis,75325,7333,LK ,LK Donnersbergkreis
Germersheim,Landkreis,129013,7334,LK ,LK Germersheim
Kaiserslautern,Landkreis,105979,7335,LK ,LK Kaiserslautern
Kusel,Landkreis,70219,7336,LK ,LK Kusel
Südliche Weinstraße,Landkreis,110521,7337,LK ,LK Südliche Weinstraße
Rhein-Pfalz-Kreis,Landkreis,154609,7338,LK ,LK Rhein-Pfalz-Kreis
Mainz-Bingen,Landkreis,211417,7339,LK ,LK Mainz-Bingen
Südwestpfalz,Landkreis,94831,7340,LK ,LK Südwestpfalz
Stuttgart,Stadtkreis,635911,8111,SK ,SK Stuttgart
Böblingen,Landkreis,392807,8115,LK ,LK Böblingen
Esslingen,Landkreis,535024,8116,LK ,LK Esslingen
Göppingen,Landkreis,258145,8117,LK ,LK Göppingen
Ludwigsburg,Landkreis,545423,8118,LK ,LK Ludwigsburg
Rems-Murr-Kreis,Landkreis,427248,8119,LK ,LK Rems-Murr-Kreis
Heilbronn,Stadtkreis,126592,8121,SK ,SK Heilbronn
Heilbronn,Landkreis,344456,8125,LK ,LK Heilbronn
Hohenlohekreis,Landkreis,112655,8126,LK ,LK Hohenlohekreis
Schwäbisch Hall,Landkreis,196761,8127,LK ,LK Schwäbisch Hall
Main-Tauber-Kreis,Landkreis,132399,8128,LK ,LK Main-Tauber-Kreis
Heidenheim,Landkreis,132777,8135,LK ,LK Heidenheim
Ostalbkreis,Landkreis,314025,8136,LK ,LK Ostalbkreis
Baden-Baden,Stadtkreis,55185,8211,SK ,SK Baden-Baden
Karlsruhe,Stadtkreis,312060,8212,SK ,SK Karlsruhe
Karlsruhe,Landkreis,445101,8215,LK ,LK Karlsruhe
Rastatt,Landkreis,231420,8216,LK ,LK Rastatt
Heidelberg,Stadtkreis,161485,8221,SK ,SK Heidelberg
Mannheim,Stadtkreis,310658,8222,SK ,SK Mannheim
Neckar-Odenwald-Kreis,Landkreis,143633,8225,LK ,LK Neckar-Odenwald-Kreis
Rhein-Neckar-Kreis,Landkreis,548355,8226,LK ,LK Rhein-Neckar-Kreis
Pforzheim,Stadtkreis,125957,8231,SK ,SK Pforzheim
Calw,Landkreis,159201,8235,LK ,LK Calw
Enzkreis,Landkreis,199556,8236,LK ,LK Enzkreis
Freudenstadt,Landkreis,118243,8237,LK ,LK Freudenstadt
Freiburg im Breisgau,Stadtkreis,231195,8311,SK ,SK Freiburg im Breisgau
Breisgau-Hochschwarzwald,Landkreis,263601,8315,LK ,LK Breisgau-Hochschwarzwald
Emmendingen,Landkreis,166408,8316,LK ,LK Emmendingen
Ortenaukreis,Landkreis,430953,8317,LK ,LK Ortenaukreis
Rottweil,Landkreis,139878,8325,LK ,LK Rottweil
Schwarzwald-Baar-Kreis,Landkreis,212506,8326,LK ,LK Schwarzwald-Baar-Kreis
Tuttlingen,Landkreis,140766,8327,LK ,LK Tuttlingen
Konstanz,Landkreis,286305,8335,LK ,LK Konstanz
Lörrach,Landkreis,228736,8336,LK ,LK Lörrach
Waldshut,Landkreis,171003,8337,LK ,LK Waldshut
Reutlingen,Landkreis,287034,8415,LK ,LK Reutlingen
Tübingen,Landkreis,228678,8416,LK ,LK Tübingen
Zollernalbkreis,Landkreis,189363,8417,LK ,LK Zollernalbkreis
Ulm,Stadtkreis,126790,8421,SK ,SK Ulm
Alb-Donau-Kreis,Landkreis,197076,8425,LK ,LK Alb-Donau-Kreis
Biberach,Landkreis,201282,8426,LK ,LK Biberach
Bodenseekreis,Landkreis,217470,8435,LK ,LK Bodenseekreis
Ravensburg,Landkreis,285424,8436,LK ,LK Ravensburg
Sigmaringen,Landkreis,130849,8437,LK ,LK Sigmaringen
Ingolstadt,Kreisfreie Stadt,137392,9161,SK ,SK Ingolstadt
München,Kreisfreie Stadt,1484226,9162,SK ,SK München
Rosenheim,Kreisfreie Stadt,63551,9163,SK ,SK Rosenheim
Altötting,Landkreis,111516,9171,LK ,LK Altötting
Berchtesgadener Land,Landkreis,105929,9172,LK ,LK Berchtesgadener Land
Bad Tölz-Wolfratshausen,Landkreis,127917,9173,LK ,LK Bad Tölz-Wolfratshausen
Dachau,Landkreis,154899,9174,LK ,LK Dachau
Ebersberg,Landkreis,143649,9175,LK ,LK Ebersberg
Eichstätt,Landkreis,132881,9176,LK ,LK Eichstätt
Erding,Landkreis,138182,9177,LK ,LK Erding
Freising,Landkreis,180007,9178,LK ,LK Freising
Fürstenfeldbruck,Landkreis,219311,9179,LK ,LK Fürstenfeldbruck
Garmisch-Partenkirchen,Landkreis,88424,9180,LK ,LK Garmisch-Partenkirchen
Landsberg am Lech,Landkreis,120302,9181,LK ,LK Landsberg am Lech
Miesbach,Landkreis,100010,9182,LK ,LK Miesbach
Mühldorf a. Inn,Landkreis,115872,9183,LK ,LK Mühldorf a. Inn
München,Landkreis,350473,9184,LK ,LK München
Neuburg-Schrobenhausen,Landkreis,97303,9185,LK ,LK Neuburg-Schrobenhausen
Pfaffenhofen a.d. Ilm,Landkreis,128227,9186,LK ,LK Pfaffenhofen a.d. Ilm
Rosenheim,Landkreis,261330,9187,LK ,LK Rosenheim
Starnberg,Landkreis,136667,9188,LK ,LK Starnberg
Traunstein,Landkreis,177319,9189,LK ,LK Traunstein
Weilheim-Schongau,Landkreis,135478,9190,LK ,LK Weilheim-Schongau
Landshut,Kreisfreie Stadt,73411,9261,SK ,SK Landshut
Passau,Kreisfreie Stadt,52803,9262,SK ,SK Passau
Straubing,Kreisfreie Stadt,47791,9263,SK ,SK Straubing
Deggendorf,Landkreis,119478,9271,LK ,LK Deggendorf
Freyung-Grafenau,Landkreis,78362,9272,LK ,LK Freyung-Grafenau
Kelheim,Landkreis,123058,9273,LK ,LK Kelheim
Landshut,Landkreis,159895,9274,LK ,LK Landshut
Passau,Landkreis,192656,9275,LK ,LK Passau
Regen,Landkreis,77410,9276,LK ,LK Regen
Rottal-Inn,Landkreis,121502,9277,LK ,LK Rottal-Inn
Straubing-Bogen,Landkreis,101120,9278,LK ,LK Straubing-Bogen
