GEN,BEZ,EWZ,AdmUnitId,Region_Prefix,Region
Nordhausen,Landkreis,83416,16062,LK ,LK Nordhausen
Wartburgkreis,Landkreis,118974,16063,LK ,LK Wartburgkreis
Unstrut-Hainich-Kreis,Landkreis,102232,16064,LK ,LK Unstrut-Hainich-Kreis
Kyffhäuserkreis,Landkreis,74212,16065,LK ,LK Kyffhäuserkreis
Schmalkalden-Meiningen,Landkreis,124916,16066,LK ,LK Schmalkalden-Meiningen
Gotha,Landkreis,134908,16067,LK ,LK Gotha
Sömmerda,Landkreis,69427,16068,LK ,LK Sömmerda
Hildburghausen,Landkreis,63197,16069,LK ,LK Hildburghausen
Ilm-Kreis,Landkreis,106249,16070,LK ,LK Ilm-Kreis
Weimarer Land,Landkreis,82156,16071,LK ,LK Weimarer Land
Sonneberg,Landkreis,57717,16072,LK ,LK Sonneberg
Saalfeld-Rudolstadt,Landkreis,103199,16073,LK ,LK Saalfeld-Rudolstadt
Saale-Holzland-Kreis,Landkreis,82950,16074,LK ,LK Saale-Holzland-Kreis
Saale-Orla-Kreis,Landkreis,80312,16075,LK ,LK Saale-Orla-Kreis
Greiz,Landkreis,97398,16076,LK ,LK Greiz
Altenburger Land,Landkreis,89393,16077,LK ,LK Altenburger Land
Berlin Reinickendorf,Bezirk,259689,11012,SK ,SK Berlin Reinickendorf
Berlin Charlottenburg-Wilmersdorf,Bezirk,334401,11004,SK ,SK Berlin Charlottenburg-Wilmersdorf
Berlin Treptow-Köpenick,Bezirk,266488,11009,SK ,SK Berlin Treptow-Köpenick
Berlin Pankow,Bezirk,398036,11003,SK ,SK Berlin Pankow
Berlin Neukölln,Bezirk,321123,11008,SK ,SK Berlin Neukölln
Berlin Lichtenberg,Bezirk,286522,11011,SK ,SK Berlin Lichtenberg
Berlin Marzahn-Hellersdorf,Bezirk,262967,11010,SK ,SK Berlin Marzahn-Hellersdorf
Berlin Spandau,Bezirk,239019,11005,SK ,SK Berlin Spandau
Berlin Steglitz-Zehlendorf,Bezirk,302177,11006,SK ,SK Berlin Steglitz-Zehlendorf
Berlin Mitte,Bezirk,375238,11001,SK ,SK Berlin Mitte
Berlin Friedrichshain-Kreuzberg,Bezirk,282059,11002,SK ,SK Berlin Friedrichshain-Kreuzberg
Berlin Tempelhof-Schöneberg,Bezirk,341772,11007,SK ,SK Berlin Tempelhof-Schöneberg
